Year Type	Year	Organization Group Code	Organization_Group	Department Code	Department	Union Code	Union	Job Family Code	Job_Family	Job Code	Job	Employee Identifier	Salaries	Overtime	Other Salaries	Total Salary	Retirement	Health and Dental	Other Benefits	Total Benefits	Total
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		261	"Laborers, Local 261"	9900	Public Service Aide	9916	Public Svc Aide-Public Works	8572742	12709.22	0	965.65	13674.87	1848.66	0	1107.36	2956.02	16630.89
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	2400	"Lab, Pharmacy & Med Techs"	2430	Medical Evaluations Assistant	10000154	11480.7	2692.82	599.81	14773.33	2308.59	5181.84	1181.4	8259.77	23033.1
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8508045	7089.73	0	274.87	7364.6	0	0	523.76	523.76	7888.36
Calendar	2019	4	Community Health	DPH		250	"SEIU, Local 1021, Misc"	2400	"Lab, Pharmacy & Med Techs"	2424	Diagnostic Imaging Assistant	8567011	55645.57	4740.14	4509.4	64895.11	12055.29	8785.12	5536.08	40782.75	105677.86
Calendar	2019	7	General City Responsibilities	DEM		790	"SEIU, Local 1021, Misc"	8200	Protection & Apprehension	8238	Public SafetyComm Disp	8556578	3035.27	0	0	3035.27	0	0	235.58	235.58	3270.85
Calendar	2019	6	General Administration & Finance	HSS		351	"Municipal Exec Assoc, Misc"	900	Management	923	Manager II	8560362	69278.31	0	0	69278.31	13239.05	8785.12	11076.05	42868.22	112146.53
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8592503	112610.32	0	0	112610.32	0	0	7778.65	7778.65	120388.97
Calendar	2019	6	General Administration & Finance	ADM		130	"Auto Machinist, Local 1414"	7300	Journeyman Trade	7315	Auto Machinist Asst Sprv	8514962	84417.01	1347.36	0	85764.37	16252.5	8785.14	6757.99	46201.89	131966.26
Calendar	2019	3	Human Welfare & Neighborhood Development	HSA		790	"SEIU, Local 1021, Misc"	9900	Public Service Aide	9910	Public Service Trainee	8588774	18661.2	0	0	18661.2	2198.79	0	1518.73	3717.52	22378.72
Calendar	2019	2	"Public Works, Transportation & Commerce"	DPW		21	"Prof & Tech Eng, Local 21"	5200	Professional Engineering	5211	Eng/Arch/Landscape Arch Sr	8552287	109993.21	0	0	109993.21	20488.17	8844.28	8163.65	51030.02	161023.23
Calendar	2019	4	Community Health	DPH		791	"SEIU, Local 1021, RN"	2300	Nursing	P103	Special Nurse	8508021	8423.85	0	621.55	9045.4	0	0	607.21	607.21	9652.61
Calendar	2019	2	"Public Works, Transportation & Commerce"	AIR		6	"Electrical Workers, Local 6"	7200	Supervisory-Labor & Trade	7238	Electrician Supervisor 1	8567239	70281.21	15413.7	37306.17	123001.08	13270.15	4059.52	9485.59	40222.72	163223.8
